Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-12-09,"IPHONE 8+ NEGRO CAMBIO PANTALLA 45 EUROS, MOVIL DESACTIV 20€",20.00€,Cambio pantalla,Apple
2023-12-09,iphone 7 CAMBIO DE BATERÍA COMAPTIBLE 35€. C 20€,35.00€,Cambio batería,Apple
2023-12-07,"iPhone 11 Pro Max CAMBIO DE PANTALLA, BATERÍA Y TAPA TRAS 130€",130.00€,Cambio pantalla,Apple
2023-12-06,iphone xs cambio bateria compatible 49€ tapa tra 20€,49.00€,Cambio batería,Apple
2023-12-06,REALME 10 (52408 RESERVADA) CAMBIO DE PANTALLA COM 29€,29.00€,Cambio pantalla,Oppo/Realme
2023-12-06,"Oppo A54S CAMBIO DE PANTALLA COMPATIBLE, 55€ 40€",55.00€,Cambio pantalla,Oppo/Realme
2023-12-06,MI 8 CAMBIO PANTALLA COMPATIBLE 75€ NO FUNC 45€,75.00€,Cambio pantalla,Xiaomi/Redmi
2023-12-06,"IPHONE X NO ENCIENDE , SI ES BATERIA 49€ 20€",49.00€,Cambio batería,Apple
2023-12-06,"iPhone 12 CAMBIO DE PANTALLA, 99€ 49€",99.00€,Cambio pantalla,Apple
2023-12-05,redmi note 8 cambio pantalla compatible 55€ 35€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-12-04,"IPHONE 11 CAMBIO PANTALLA Y TAPA TRASERA 180€, A 105€",180.00€,Cambio pantalla,Apple
2023-12-04,OPPO A78 5G CAMBIO DE PANTALLA COMPATIBLE CALIDAD PR 32€,32.00€,Cambio pantalla,Oppo/Realme
2023-12-04,IPHONE XR CAMBIO DE PANTALLA COMPATIBLE 85€. TI 20€,85.00€,Cambio pantalla,Apple
2023-12-04,iphone 7+ cambio bateria compatible 35€ 20€,35.00€,Cambio batería,Apple
2023-12-02,iphone xr cambiar tapa trasera. sacar a la venta 50€,50.00€,Tapa trasera,Apple
2023-12-02,NOTE 11 PRO 5G CAMBIO PANTALLA COMPATIBLE 55€ 31€,55.00€,Cambio pantalla,Samsung
2023-12-02,a22 5g cambio pantalla service pack 69€ 32.5€,69.00€,Cambio pantalla,Samsung
2023-12-02,"Samsung A21S CAMBIO DE PANTALLA COMPATIBLE, 55€, RA 36€",55.00€,Cambio pantalla,Samsung
2023-12-02,"SAMSUNG A21S CAMBIO DE PANTALLA COMPATIBLE, 55€ 36€",55.00€,Cambio pantalla,Samsung
2023-12-02,IPHONE 12 MINI COLOCAR CRISTAL Y ARO PARA CAMARA TRASER 45€,45.00€,Otros,Apple
2023-12-01,iphone 12 limpieza altavoz y auricular 15€ 15€,15.00€,Limpieza,Apple
2023-12-01,iphone12 se le calienta mucho sin usarlo y la bat 45€,45.00€,Otros,Apple
2023-11-30,note 11s 5g cambio pantalla compatible 59€ 31€,59.00€,Cambio pantalla,Samsung
2023-11-30,"macbook air CAMBIO DE BATERÍA 89€, TIEMPO DE ESPE 47€",89.00€,Cambio batería,Otras
2023-11-30,A53 5G FALLO DE PANTALLA EL CLIENTE QUIERE CAMB 39€,39.00€,Otros,Samsung
2023-11-30,IPHONE 8 PLUS CAMBIO DE PANTALLA 45€ DEJA 20 € DE 20€,45.00€,Cambio pantalla,Apple
2023-11-30,IPHONE 6 S PLUS CAMBIO DE PANTALLA 49 € 20€,49.00€,Cambio pantalla,Apple
2023-11-30,IPHONE 8 NO LLEGA A INICIAR. PANTALLA ROTA. SI ES 40€,40.00€,Otros,Apple
2023-11-29,iphone 11 cambio de bateria 55€ SIN FACE ID 20€,55.00€,Cambio batería,Apple
2023-11-29,IPHONE X CAMBIO DE PANTALLA X 75€ TAPA TRASERA 20€,75.00€,Cambio pantalla,Apple
2023-11-29,"IPhone 11 Pro CAMBIO DE PANTALLA COMPATIBLE, 89€ 20€",89.00€,Cambio pantalla,Apple
2023-11-28,XIAOMI MI 11 CAMBIO DE BATERIA 49€ 35€,49.00€,Cambio batería,Xiaomi/Redmi
2023-11-28,SAMSUNG S 8 INICIALMENTE INGRESA POR LIMPIEZA 15€ 15€,15.00€,Limpieza,Samsung
