Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-07-19,"redmi note 8 revisar auricular, no se esccha o se esc 15€",15.00€,Otros,Xiaomi/Redmi
2023-07-19,redmi note 8 pro cambio pantalla 55€ vendra mañana a l 32€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-07-19,TCL 30 SE CAMBIO PANTALLA 55 EUROS. DEJA PAGADO 35€,35.00€,Cambio pantalla,Otras
2023-07-19,IPHONE XR LIMPIEZA AURICULAR 15€ 15€,15.00€,Limpieza,Apple
2023-07-18,"iphone 7+ la bateria esta super hinchada, ha arran 35€",35.00€,Cambio batería,Apple
2023-07-18,iphone 11 cambio pantalla 85€ tiene la tapa tras 20€,85.00€,Cambio pantalla,Apple
2023-07-18,"iphone 11 pro max no da imagen, tapa trasera rota y un poc 60€",60.00€,Tapa trasera,Apple
2023-07-18,IPHONE 11 PRO PRESUPUESTO INICIAL 55€ TRATAMIENTO DE 47€,55.00€,Otros,Apple
2023-07-17,"OPPO A16S CAMBIO DE PANTALLA COMPATIBLE 25€, LA 25€",25.00€,Cambio pantalla,Oppo/Realme
2023-07-17,"apple watch SE 44mm pantalla despegada, revisar y pasar pres 39€",39.00€,Otros,Otras
2023-07-17,LG K41S CAMBIO PANTALLA 46€ 4541 29.5€,46.00€,Cambio pantalla,Otras
2023-07-17,IPHONE 11 PRO MAX CAMBIO DE PANTALLA COMPATIBLE 129€. 50€,129.00€,Cambio pantalla,Apple
2023-07-17,redmi 9c cambio pantalla 49€ 31.5€,49.00€,Cambio pantalla,Xiaomi/Redmi
2023-07-17,"samsung a12 cambio pantalla compatible 55€, viene 38€",55.00€,Cambio pantalla,Samsung
2023-07-17,OPPO A16S CAMBIO DE PANTALLA COMAPTIBLE CALIDAD PR 34€,34.00€,Cambio pantalla,Oppo/Realme
2023-07-17,p smart z cambio pantalla 65€ 39€,65.00€,Cambio pantalla,Otras
2023-07-15,REDMI 9 CAMBIO DE PUERTO DE CARGA 49€. 46.6€,49.00€,Puerto carga/conector,Xiaomi/Redmi
2023-07-15,"A50 CAMBIO PUERTO DE CARGA 49€, COMPROBAR 49€",49.00€,Puerto carga/conector,Samsung
2023-07-15,"redmi 9a CAMBIO DE TAPA TRASERA, DEJA PAGADO 35� 25.09€",25.09€,Tapa trasera,Xiaomi/Redmi
2023-07-14,IPHONE 8 PLUS CLIENTE COMENTA QUE EL AURICULAR SE LE E 19€,19.00€,Otros,Apple
2023-07-14,"IPHONE 12 PRO NO DA IMAGEN, DICE QUE SE HA CAIDO EN UN 74.14€",74.14€,Otros,Apple
2023-07-13,"SAMSUNG COLOR AZUL NO DA IMAGEN, SI ES FPC - 45€ SI ES 42€",45.00€,Otros,Samsung
2023-07-13,"A10S SISTEMA OPERATIVO RESTAURADO, QUEDO SIN 69€",69.00€,Otros,Samsung
2023-07-13,J6 SALVAR DATOS Y RESTAURAR SYSTEMA 25€ 25€,25.00€,Otros,Samsung
2023-07-12,REDMI 9 CAMBIO DE CONECTOR DE CARGA 35€ TIPO C 28.4€,35.00€,Puerto carga/conector,Xiaomi/Redmi
2023-07-12,IPHONE 6S CAMBIO DE BATERIA 29 € 21.38€,29.00€,Cambio batería,Apple
2023-07-12,IPHONE 11 CAMBIO DE BATERIA Y REVISAR CHIP DE CARG 12.6€,12.60€,Cambio batería,Apple
2023-07-12,IPhone 11 CAMBIO DE BATERIA Y REVISAR CHIP DE CARG 12.6€,12.60€,Cambio batería,Apple
2023-07-11,IPHONE 6S LE PASA CARGA INTERMITENTE VER SI ES CON 40€,40.00€,Otros,Apple
2023-07-10,SAMSUNG NOTE 10 LITE CAMBIO DE PANTALLA 169 € ORIGINAL 73€,169.00€,Cambio pantalla,Samsung
2023-07-10,REDMI NOTE 8 CAMBIO DE PANTALLA 55 € PARA LAS 22:00 33.63€,55.00€,Cambio pantalla,Xiaomi/Redmi
2023-07-10,HUAWEI P30 PRO DICE TENER UN VIRUS PRESUPUESTO DE 49 AC 49€,49.00€,Otros,Huawei/Honor
2023-07-10,IPHONE X CAMBIO DE PLACA BASE DEL NEGRO AL BLANCO 45€,45.00€,Otros,Apple
2023-07-08,REDMI 9C RECONSTRUCCION DE MOVILES COMPRADOS ROTO 65€,65.00€,Otros,Xiaomi/Redmi
2023-07-08,XIAOMI REDMI NOTE 8 PUESTA A PUNTO DE MOVILES DE DESPIECES 25€,25.00€,Otros,Xiaomi/Redmi
2023-07-08,XIAOMI REDMI NOTE 8 PUESTA A PUNTO DE MOVILES DE DESPIECES 15€,15.00€,Otros,Xiaomi/Redmi
2023-07-07,Samsung A21S CAMBIO DE PANTALLA 55 €REVISAR LA CAMA 33€,55.00€,Cambio pantalla,Samsung
2023-07-07,HUAWEI Y9 PRIME CAMBIO DE PANTALLA 55 € 2 HORAS. 29€,55.00€,Cambio pantalla,Huawei/Honor
2023-07-07,ARMOR 6 CAMBIO DE PANTALLA 65€ - DEVOLVER A RO 26€,65.00€,Cambio pantalla,Otras
2023-07-06,REDMI NOTE 8 CAMBIO DE BATERIA 35 € PARA ULTIMA HO 24€,35.00€,Cambio batería,Xiaomi/Redmi
2023-07-06,ALTAVOZ IBIZA SOUND REVISAR SE ENCIENDE COMO QUE PASA LA COR 50€,50.00€,Otros,Otras
2023-07-05,SAMSUNG S21 PLUS SE REINICIA 35€ 35€,35.00€,Otros,Samsung
2023-07-04,XIAOMI NOTE 9 MOVIL MOJADO SIN GARANTIA - POR 49€ SE 49€,49.00€,Mojado/humedad,Xiaomi/Redmi
2023-07-04,SAMSUNG A30s CAMBIO DE PANTALLA PRESUPUESTO DE 59 37€,37.00€,Cambio pantalla,Samsung
2023-07-04,M31 CAMBIO DE PASNTALLA RPESUPUESTO DE 55 3 35€,35.00€,Otros,Samsung
2023-07-03,a74 5g cambio pantalla 59€ lo traera el lunes 34€,59.00€,Cambio pantalla,Samsung
2023-06-30,IPHONE 7 PLUS NUESTRO PONER A PUNTO PARA LA VENTA DE 25€,25.00€,Otros,Apple
2023-06-30,SAMSUNG A13 CAMBIO DE LA PANTALLA 55€ - URGE MUCHO 27.5€,55.00€,Cambio pantalla,Samsung
2024-10-07,IPHONE 11 CAMBIO DE PANTALLA COMPATIBLE 85€. 20€,85.00€,Cambio pantalla,Apple
2024-10-07,iphone se venta CAMBIAR LA BATERÍA 30€. 20€,30.00€,Cambio batería,Apple
2024-10-05,A12 LIMPIEZA AURICULAR 15€. 15€,15.00€,Limpieza,Samsung
2024-10-04,POCO X3 CAMBIO FLEX HUELLA 29 € 24€,29.00€,Otros,Otras
2024-10-04,S9 CAMBIO DE LA BATERÍA EN MEDIAMARKT HACE 31€,31.00€,Cambio batería,Samsung
2024-10-04,"iphone 13 pro max CAMBIO DE TAPA TRASERA 129€, SI ES MAS 190€",129.00€,Tapa trasera,Apple
2024-10-04,a53 COMPRADO POR 20€ DESBLOQUEO 15€ 15€,20.00€,Otros,Samsung
2024-10-03,iphone 14 pro max cambio cristal camara 49€ poner proter 49€,49.00€,Otros,Apple
2024-10-01,redmi note 7 cambio bateria y pegar pantalla 64€ la 54€,64.00€,Cambio pantalla,Xiaomi/Redmi
2024-10-01,oppo a76 cambio pantalla compatible 55€ no func 37€,55.00€,Cambio pantalla,Oppo/Realme
2024-10-01,ZTE BLADE A33S CAMBIO DE PANTALLA COMPATIBLE 55€. 40€,55.00€,Cambio pantalla,Otras
2024-10-01,realme gt 5g cambio pantalla service pack 169€ 38€,169.00€,Cambio pantalla,Oppo/Realme
2024-10-01,redmi 10 pasar informacion a oppo 25€ contrase 25€,25.00€,Otros,Xiaomi/Redmi
2024-10-01,iphone 11 cambio tapa trasera + bateria + pegar pa 120€,120.00€,Cambio batería,Apple
2024-10-01,REDMI NOTE 10 PRO CAMBIO DE PANTALLA COMPATIBLE 55€. TA 35€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-30,IPHONE 14 PRO MAX CAMBIO DE TAPA TRASERA 149€. 131€,149.00€,Tapa trasera,Apple
2024-09-30,"REDMI 8 CAMBIO BATERIA 45€, BATERIA HINCHADA Y 35€",45.00€,Cambio batería,Xiaomi/Redmi
2024-09-30,A22 5G CAMBIO DE PANTALLA COMPATIBLE 55 € 37€,55.00€,Cambio pantalla,Samsung
2024-09-30,"OPPO A54S PEGAR PANTALLA, LIMPIEZA DE PUERTO DE CA 25€",25.00€,Puerto carga/conector,Oppo/Realme
2024-09-30,REDMI NOTE 10 PEGAR PANTALLA 25 € 25€,25.00€,Otros,Xiaomi/Redmi
2024-09-28,samsung s23 ultra cambio pantalla service pack 249€ la t 49€,249.00€,Cambio pantalla,Samsung
2024-09-27,"A52 CAMBIO PANTALLA COMPATIBLE 55€, NO FUN 69€",55.00€,Cambio pantalla,Samsung
2024-09-27,"IPHONE 7 ESTA EN MODO RECOVERY,29€ INTENTAR NO 29€",29.00€,Otros,Apple
2024-09-27,"POCO X3 CAMBIO PANTALLA COMPATIBLE 55€, NO FUN 37€",55.00€,Cambio pantalla,Otras
2024-09-27,TCL 30 SE CAMBIO DE PANTALLA 55€. FALTA UN CRIS 37€,55.00€,Cambio pantalla,Otras
2024-09-27,note 11 4g cambio de pantalla compatible 55 € 38€,55.00€,Cambio pantalla,Samsung
2024-09-26,p9 bateria hinchada 49€ la pantalla esta 40€,49.00€,Cambio batería,Otras
2024-09-26,"IPHONE 13 CArGA CON ALGUYNOS CABLES, SE IBSERVA EN 15€",15.00€,Otros,Apple
2024-09-25,OPPO A16S CAMBIO DE PANTALLA COMPATIBLE 59€. 40€,59.00€,Cambio pantalla,Oppo/Realme
2024-09-25,redmi 9c vaciar al macenamiento de cuenta gmail. 35€,35.00€,Otros,Xiaomi/Redmi
2024-09-25,redmi 12c CAMBIO DE PANTALLA COMPATIBLE 55€. TA 40€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-25,SAMSUNG NOTE 20 ULTRA 5G TELEFONO APAGADO NO SE PUEDE PROBAR FUNC 63€,63.00€,Otros,Samsung
2024-09-25,portatil hp la bateria dura poco. solo funciona ench 61€,61.00€,Cambio batería,Otras
2024-09-25,oppo find x2 lite pegar pantalla 25€ 25€,25.00€,Otros,Oppo/Realme
2024-09-24,"redmi note 11 pro 5g CAMBIO DE PANTALLA COMAPTIBLE 55€, SI 35€",55.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-24,"15 PRO MAX/ TELEFONO MOJADO EN AGUA DE MAR, PRESUPUE 150€",150.00€,Mojado/humedad,Otras
2024-09-24,"REDMI NOTE 12 5G CAMBIO DE PANTALLA COMPATIBLE 59€, SI 39€",59.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-24,OPPO A53 TELEFONO APAGADO NO SE PUEDE COMPROBAR L 39€,39.00€,Otros,Oppo/Realme
2024-09-24,cubot a1 CAMBIO DE PANTALLA COMPATIBLE 55€. 30€,55.00€,Cambio pantalla,Otras
2024-09-23,Samsun A12 cambio de pantalla Presupuesto 55€ 40€,55.00€,Cambio pantalla,Otras
2024-09-23,"iphone 7 PROBLEMA CON CHIP DE AUDIO, REVISAR. RE 89€",89.00€,Otros,Apple
2024-09-23,lenovo m10 Cambio puerto de carga 49 € cristal p 49€,49.00€,Puerto carga/conector,Otras
2024-09-23,S24 MANTENIMIENTO BASICO PRESUPUESTO 15€ 15€,15.00€,Otros,Samsung
2024-09-23,REDMI NOTE 8 CAMBIO DE BATERÍA COMPATIBLE Y VOLVER A 45€,45.00€,Cambio batería,Xiaomi/Redmi
2024-09-21,REDMI 9C CAMBIO DE BATERIA 45€ INGRESA APAGADO 35€,45.00€,Cambio batería,Xiaomi/Redmi
2024-09-21,POCO C65 ingresa inicialmente para limpieza de ja 25€,25.00€,Limpieza,Otras
2024-09-21,P SMART Z CAMBIO DE PANTALLA COMPATIBLE 55€. 33€,55.00€,Cambio pantalla,Otras
2024-09-21,"S10 CAMBIO DE PUERTO DE CARGA 49€, EL TELE 49€",49.00€,Puerto carga/conector,Samsung
2024-09-21,IPHONE 11 cambio de pantalla 85€ 20€,85.00€,Cambio pantalla,Apple
2024-09-21,iphone 11 pro pegar pantalla 25€ cristal protector 25€,25.00€,Otros,Apple
2024-09-20,iphone 12 pro mantenimiento auricular 15€ 15€,15.00€,Otros,Apple
2024-09-20,redmi 9 cambio de pantalla 55€ marco con tall 38€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-20,samsung a31 cambio de pantalla 59€ 31€,59.00€,Cambio pantalla,Samsung
2024-09-20,"ONE PLUS NORD N100 CAMBIO DE PANTALLA COMPATIBLE, SE AVISA 35€",35.00€,Cambio pantalla,Otras
2024-09-20,redmi note 12 CAMBIO DE PANTALLA COMPATIBLE CALIDAD OL 35€,35.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-20,redmi note 11s cambio de pantalla 59€ 37€,59.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-20,OPPO A52 CAMBIO DE PANTALLA COMPATIBLE 55€. 32€,55.00€,Cambio pantalla,Oppo/Realme
2024-09-20,iphone xr cambio de pantalla 85€ pin sim 2040 20€,85.00€,Cambio pantalla,Apple
2024-09-20,"watch serie 4 no enciende, revisar sin abrir, 49€. c 49€",49.00€,Otros,Otras
2024-09-19,"mi 9 lite NO CARGA CORRECTAMENTE, 49€ PRESUPUEST 30€",49.00€,Otros,Xiaomi/Redmi
2024-09-19,"POCO X3 NO CARGA , REVISAR. RASGUÑOS EN LA TAPA 30€",30.00€,Tapa trasera,Otras
2024-09-19,"A40 SE REINICIA , SI ESTA COENCTADO AL CABLE 30€",30.00€,Otros,Samsung
2024-09-19,"NOTE 10 CAMBIO DE BATERÍA, EL CLIENTE TRAE LA P 25€",25.00€,Cambio batería,Samsung
2024-09-19,iphone 11 pro max cambio pantalla comaptible 95€ tapa ro 20€,95.00€,Cambio pantalla,Apple
2024-09-19,ipad 9 gen cambio tactil 59€ 47€,59.00€,Otros,Otras
2024-09-18,"A70 no carga, revisar fpc. REVISAR IMAGEN. 30€",30.00€,Otros,Samsung
2024-09-18,iphone SE pasar datos al se 2020 25€. pantalla r 25€,25.00€,Otros,Apple
2024-09-18,"OPPO RMX3624 NO CARGA CORRECTAMENTE, PRESUPUESTO INCI 35€",35.00€,Otros,Oppo/Realme
2024-09-18,IPHONE 13 PASAR DATOS DEL 11 AL 13 EL 11 TIENE LA 25€,25.00€,Otros,Apple
2024-09-18,REALME 8I CAMBIO PANTALLA COMPATIBLE 55€ NO FUNC 36€,55.00€,Cambio pantalla,Oppo/Realme
2024-09-18,P20 PRO PEGAR BOTON PANTALLA. INTENTAR PARA ESTA 15€,15.00€,Otros,Otras
2024-09-18,A70 NO CARGA NADA. 49-69€. PROTECTOR MUY R 69€,69.00€,Otros,Samsung
2024-09-18,"iphone 11 NO CARGA, REALIZAR LIMPIEZA PUERTO DE CA 15€",15.00€,Puerto carga/conector,Apple
2024-09-17,redmi 8 cambio pantalla comaptible 55€ tapa de 37€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-17,OPPO A38 CAMBIO DE PANTALLA COMPATIBLE 55€. PU 36€,55.00€,Cambio pantalla,Oppo/Realme
2024-09-17,iphone 11 mantenimiento auricular 15€ 15€,15.00€,Otros,Apple
2024-09-17,"LG ?¿¿? NO LOGRA ENCENDAR, PRESUPUESTO INICIAL D 35€",35.00€,Otros,Otras
2024-09-17,IPHONE X REALIZAR MANTENIMIENTO DE MOJADO 69€. 50€,69.00€,Mojado/humedad,Apple
2024-09-16,"a31 no carga, si es conector 49€ 69€",49.00€,Puerto carga/conector,Samsung
2024-09-16,a32 4g cambio pantalla service pack 85€ 32€,85.00€,Cambio pantalla,Samsung
2024-09-16,IPHONE 12 PRO MAX LIMPIEZA 15 €. TAPA TRASERA ROTA 15€,15.00€,Limpieza,Apple
2024-09-16,"iphone 11 resetear, no se sabe la contraseña 19e 19€",19.00€,Otros,Apple
2024-09-14,IPHONE 7 CAMBIO DE PANTALLA COMPATIBLE 45€. CH 20€,45.00€,Cambio pantalla,Apple
2024-09-14,OPPO A98 5G CAMBIO DE PANTALLA COMPATIBLE 55€. 35€,55.00€,Cambio pantalla,Oppo/Realme
2024-09-14,iphone8 cambio bateria compratible 35€ esta hi 20€,35.00€,Cambio batería,Apple
2024-09-13,mi 10 lite 5g cambio pantalla service pack 149€ 36€,149.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-13,a2588 esta apagada y no entra nada de carga pr 89€,89.00€,Otros,Samsung
2024-09-13,PORTATIL ACER N17C4 EL ORDENADOR SE MOJO CON CAFE HACE TIEMP 80€,80.00€,Otros,Otras
2024-09-11,REDMI NOTE 12 4G CAMBIAR LA PANTALLA EN GARANTIÁ. EL TAC 55€,55.00€,Otros,Xiaomi/Redmi
2024-09-11,IPHONE 13 PRO CAMBIO TAPA TRASERA 160€ REPARACION UR 144€,160.00€,Tapa trasera,Apple
2024-09-11,"S20 FE CAMBIO PANTALLA SERVICE PACK 125€, DEJ 35€",125.00€,Cambio pantalla,Samsung
2024-09-11,IPHONE XS MAX CAMBIO PANTALLA 75€ FACE ID NO FUNCION 20€,75.00€,Cambio pantalla,Apple
2024-09-11,SAMSUNG A53 CAMBIO PANTALLA COMPATIBLE 69€ NO FUNC 31€,69.00€,Cambio pantalla,Samsung
2024-09-10,samsung a 14 telefono mojada presupuesto 69 € 101€,69.00€,Otros,Samsung
2024-09-10,a22 5g cambio pantalla compatible 55€ 40€,55.00€,Cambio pantalla,Samsung
2024-09-10,REDMI NOTE 10 CAMBIO DE PANTALLA Y TAPA TRASERA 84€. 64€,84.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-10,HUAWEI X? CAMBIO DE PANTALLA 55€. 40€,55.00€,Cambio pantalla,Huawei/Honor
2024-09-10,REDMI 12C CAMBIO DE PANTALLA COMAPTIBLE 55€. 40€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-09-10,"REDMI NOTE 9 PRO/9S TELEFONO QUE NO DA IMAGEN, POSIBLEMENTE 38€",38.00€,Otros,Xiaomi/Redmi
2024-09-10,iphone 12 pro limpieza auricular 15€ 54€,15.00€,Limpieza,Apple
2024-09-09,OPPO A53S CAMBIO DE PANTALLA COMPATIBLE 55€. TA 37€,55.00€,Cambio pantalla,Oppo/Realme
2024-09-09,"IPHONE 8 CAMBIO DE BATERÍA EN GARANTÍA, LA BATE 15€",15.00€,Cambio batería,Apple
2024-09-09,iphone xs cambio bateria compatible 49€ 20€,49.00€,Cambio batería,Apple
2024-09-09,"IPAD A2696 NO FUNCIONA CORRECTAMENTE EL BOTON, REMO 45€",45.00€,Otros,Otras
2024-09-07,poco m3pro frp 45€ protector pantalla roto REMOT 30€,45.00€,FRP/desbloqueo,Otras
2024-09-07,SAMSUNG TAB X200 la bateria tarda mucho en cargar y se de 43.5€,43.50€,Cambio batería,Samsung
2024-09-07,S24 ULTRA NO SE SABE LA CONTRASEÑA 29€ ELLA PON 29€,29.00€,Otros,Samsung
2024-09-07,a51 cambio pantalla calidad incel 55€ 37€,55.00€,Cambio pantalla,Samsung
2024-09-07,s10 lite cristal camara 25€ avisar cuando llegu 20€,25.00€,Otros,Samsung
2024-09-07,tab a8 el cristal de la pantalla esta roto y le 49€,49.00€,Otros,Otras
2024-09-07,a12 no funciona microfono 49e 49€,49.00€,Otros,Samsung
2024-09-07,REALME C30 TELEFONO CON GOPLES EN LA PANTALLA NO DA 30€,30.00€,Otros,Oppo/Realme
2024-09-07,a55 5g pasar datos 25€ 2944 25€,25.00€,Otros,Samsung
2024-09-07,"samsung note 10+ no carga bien, si es limpieza 15€ si e 49€",15.00€,Limpieza,Samsung
2024-09-07,iphone 11 pro max cambio tapa trasera 70€ 55€,70.00€,Tapa trasera,Apple
2024-09-05,"s23 ultra CAMBIO DE PANTALLA SERVICE PACK 305€, 50€",305.00€,Cambio pantalla,Samsung
2024-09-05,TCL LIMPIEZA CONECTOR 15€ 15€,15.00€,Puerto carga/conector,Otras
2024-09-05,SAMSUNG A13 CAMBIO PANTALLA 55€ 42€,55.00€,Cambio pantalla,Samsung
2024-09-05,S6 LITE CAMBIO PANTALLA COMPATIBLE 79€ 31€,79.00€,Cambio pantalla,Samsung
2024-09-05,realme 8 cambio pantalla service pack con marco 9 31€,31.00€,Cambio pantalla,Oppo/Realme
2024-09-02,a04s cambio pantalla 55€ si hay que hacer m 58€,55.00€,Cambio pantalla,Samsung
2024-09-02,OPPO A98 5G CAMBIO DE PANTALLA COMPATIBLE 55€. AV 34€,55.00€,Cambio pantalla,Oppo/Realme
2024-09-02,"IPHONE 11 EL AURICULAR ESTA TAPONADO, LIMPIEZA 19� 19€",19.00€,Limpieza,Apple
2024-09-02,A51 CAMBIO PANTALLA COMPATIBLE 75€ 40€,75.00€,Cambio pantalla,Samsung
2024-08-31,iphone 12 pro cambio tapa trasera 90€ 75€,90.00€,Tapa trasera,Apple
2024-08-31,OPPO A53S CAMBIO DE PANTALLA COMPATIBLE 55€. SE 38€,55.00€,Cambio pantalla,Oppo/Realme
2024-08-31,REDMI 12C CAMBIO DE PANTALLA COMPATIBLE 55€. 37€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-30,"A53 5G NO ENCIENDE, PRESUPUESTO INICIAL DE 69 € 69€",69.00€,Otros,Samsung
2024-08-30,redmi 10c cambio pantalla service pack 65€ avisa 33€,65.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-30,HUAWEI MATE 10 cambio pantalla compatible 59€ TAPA RO 30€,59.00€,Cambio pantalla,Huawei/Honor
2024-08-30,"redmi note 10s EL TELEFONO ESTÁ EN BUCLE, NO PASA DEL 89€",89.00€,Otros,Xiaomi/Redmi
2024-08-30,MI 10T LA BATERIA ESTA MUY HINCHADA. CAMBIARLA 30€,30.00€,Cambio batería,Xiaomi/Redmi
2024-08-30,"iphone 8 CAMBIO BATERIA 35€, EL CLIENTE COMENTA 30€",35.00€,Cambio batería,Apple
2024-08-29,"IPHONE 11 BLANCO CAMBIO PANTALLA 85 EUROS, BLOQUEADO POR 20€",20.00€,Cambio pantalla,Apple
2024-08-29,a04s cambio pantalla 55€ si hay que hacer m 57€,55.00€,Cambio pantalla,Samsung
2024-08-29,a04s cambio pantalla 55€ si hay que hacer m 57€,55.00€,Cambio pantalla,Samsung
2024-08-29,REDMI NOTE 10 CAMBIO DE BATERIA COMPATIBLE 39€. 30€,39.00€,Cambio batería,Xiaomi/Redmi
2024-08-29,A34¿? MARCA HUMEDAD AL CONECTARLO. CAMBIO DE C 49€,49.00€,Otros,Samsung
2024-08-29,S10 + LIMPIEZA PUERTO DE CARGA 15€. TIENE R 15€,15.00€,Puerto carga/conector,Samsung
2024-08-29,samsung m13 cambio pantalla compatible 50€ 33€,50.00€,Cambio pantalla,Samsung
2024-08-28,a13 no se sabe la contraseña 25€. tiene l 25€,25.00€,Otros,Samsung
2024-08-28,"redmi 13c COPIAR DATOS 29€, FOTOS, VIDEOS, CONTA 29€",29.00€,Otros,Xiaomi/Redmi
2024-08-28,REDMI 9 CAMBIO DE PANTALLA COMPATIBLE 59€. 37€,59.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-27,"S22 ULTRA PROBLEMA CON LA COBERTURA, PRESUPUESTO I 89€",89.00€,Otros,Samsung
2024-08-27,REDMI 13C CAMBIO DE PANTALLA COMPATIBLE 55€. 37€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-27,iphone 11 CAMBIO DE PANTALLA COMPATIBLE 85€. TI 20€,85.00€,Cambio pantalla,Apple
2024-08-27,SAMSUNG A71 CAMBIO PANTALLA COMPATIBLE 55€ NO FUNC 35€,55.00€,Cambio pantalla,Samsung
2024-08-27,MI 10T PRO PEGAR PANTALLA + PONER TAPA TRASERA COMP 50€,50.00€,Tapa trasera,Xiaomi/Redmi
2024-08-27,REDMI 9C CAMBIO PANTALLA 55 EUROS PASARA EN UNA H 30€,30.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-27,REDMI NOTE 10 no carga revisar 29€,29.00€,Otros,Xiaomi/Redmi
2024-08-26,"m22? CAMBIO DE PANTALLA COMPATIBLE, PRESUPUES 38€",38.00€,Cambio pantalla,Samsung
2024-08-26,iphone xr CAMBIO DE PANTALLA COMPATIBLE 85€. FA 20€,85.00€,Cambio pantalla,Apple
2024-08-26,iphone x limpieza conector y altavoz 15€ 15€,15.00€,Puerto carga/conector,Apple
2024-08-26,iphone 11 deja pagado. cambio pantalla compatible 20€,20.00€,Cambio pantalla,Apple
2024-08-26,14 PRO MAX CAMBIO DE PANTALLA 280-295€ COMPATIBL 65€,295.00€,Cambio pantalla,Otras
2024-08-26,samsung s21 LA PANTALLA NO DA IMAGEN. REVISAR RECONE 29€,29.00€,Otros,Samsung
2024-08-26,a54 aparece mensaje de humedad. hacer manten 15€,15.00€,Otros,Samsung
2024-08-26,A32 4G CAMBIO PANTALLA COMPATIBLE 55€ 37€,55.00€,Cambio pantalla,Samsung
2024-08-26,"IPHONE 11 CAMBIO PANTALLA COMPATIBLE 85€, DEJA N 20€",85.00€,Cambio pantalla,Apple
2024-08-24,smasung a 03s 2021 cambio de pantalla 55€ 35€,55.00€,Cambio pantalla,Otras
2024-08-24,a14 el telefono se reinicia al introducir un 59€,59.00€,Otros,Samsung
2024-08-24,IPHONE 8+ CAMBIO DE TAPA TRASERA 55€. ESCUCHA M 45€,55.00€,Tapa trasera,Apple
2024-08-23,IPHONE 11 MANTENIMIENTO DE MOJADO 69€ PRESUPUEST 69€,69.00€,Mojado/humedad,Apple
2024-08-23,"s20 ultra no carga, antes de apagarse detectaba hu 69€",69.00€,Otros,Samsung
2024-08-23,REDMI 10C CAMBIO PANTALLA COMPATIBLE 59€ 41€,59.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-23,S23 ULTRA CAMBIO DE PANTALLA SERVICE PACK Y CAMBIO 64€,64.00€,Cambio pantalla,Samsung
2024-08-23,iphone 13 pro max CAMBIO DE TAPA TRASERA 129€. TIENE EL 116€,129.00€,Tapa trasera,Apple
2024-08-23,"mi 9t CAMBIO DE PANTALLA COMPATIBLE 55€, MEN 38€",55.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-22,iphone 12 cambio tapa trasera 90€ 1-2 dias. prot 76€,90.00€,Tapa trasera,Apple
2024-08-22,"a40 no da imagen ,si es recoexion 25€ si e 69€",25.00€,Otros,Samsung
2024-08-22,REDMI 9T CAMBIO DE PANTALLA COMPATIBLE 55€. 31€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-21,P SMART PLUS CAMBIO DE PANTALLA COMPATIBLE 55€. VI 40€,55.00€,Cambio pantalla,Otras
2024-08-20,a40 VIENE CON LA PANTALLA EN NEGRO PERO ESTA 32€,32.00€,Otros,Samsung
2024-08-20,"mi 10 lite 5g el telefono viene reiniciandose, lo cone 30€",30.00€,Otros,Xiaomi/Redmi
2024-08-20,A32 4G CAMBIO DE PANTALLA SERVICE PACK. 32€,32.00€,Cambio pantalla,Samsung
2024-08-20,samsung a25 cambio pantalla compatible 55€ 35€,55.00€,Cambio pantalla,Samsung
2024-08-20,"iphone 12 pro el telefon viene apagado y no enciende, 19€",19.00€,Otros,Apple
2024-08-19,iphone 13 LIMPIEZA DE AURICULAR 15€. 15€,15.00€,Limpieza,Apple
2024-08-19,iphone 14 plus cambiar dos cristales de la camara 49€ 44€,49.00€,Otros,Apple
2024-08-19,A40 CAMBIO DE PANTALLA COMPATIBLE INCELL 59€ 29€,59.00€,Cambio pantalla,Samsung
2024-08-19,REDMI NOTE 8 cambio pantalla 55€ 42€,55.00€,Cambio pantalla,Xiaomi/Redmi
2024-08-19,"S20 FE NO CARGA CORRECTAMENTE, PRESUPUESTO INCI 15€",15.00€,Otros,Samsung
2024-08-19,iphone 11 cambio tapa trasera blanca 60€ le falt 75€,60.00€,Tapa trasera,Apple
